Sample,Time_s,SetPoint_V,ActualValue_V,Error_V,ErrorInt_V,ErrorDif_V,OutputVoltage_V,Kp,Ki,Kd
1,0.0001212,3.15,3.79276637341154,-0.642766373411536,-7.79032844574782e-05,0,0.257137788581682,0.4,0.401,0.8
2,0.3002033,3.15,3.62267839687195,-0.472678396871946,-0.141920229242425,-0.113360961243333,0.155292601680324,0.4,0.401,0.8
3,0.5990623,3.15,3.66275659824047,-0.51275659824047,-0.295162153435973,-0.0642391093212178,0.272071375367039,0.4,0.401,0.8
4,0.894037,3.15,3.58553274682307,-0.43553274682307,-0.423633294770284,-0.10442766468305,0.260547918185672,0.4,0.401,0.8
5,1.1824586,3.15,3.58553274682307,-0.43553274682307,-0.549250346461389,-0.0854402556856588,0.326110283111718,0.4,0.401,0.8
6,1.5853344,3.15,3.5425219941349,-0.392521994134899,-0.707387958866081,-0.0702856878895369,0.384442818847629,0.4,0.401,0.8
7,1.9235211,3.15,3.52443792766373,-0.374437927663734,-0.834017885977518,-0.0776787954223833,0.422073307004572,0.4,0.401,0.8
8,2.227666,3.15,3.50830889540567,-0.35830889540567,-0.942995709139786,-0.079704623811577,0.457701138478061,0.4,0.401,0.8
9,2.5256926,3.15,3.47605083088954,-0.326050830889541,-1.04016752969697,-0.0867205033852465,0.478151109056105,0.4,0.401,0.8
10,2.8378597,3.15,3.47360703812317,-0.323607038123167,-1.14118700032747,-0.067799495759257,0.532819205773177,0.4,0.401,0.8
11,3.2756595,3.15,3.41495601173021,-0.264956011730205,-1.25718468927175,-0.0654683324585709,0.557738799123198,0.4,0.401,0.8
12,3.5959236,3.15,3.42228739002933,-0.272287390029326,-1.34438856518084,-0.0670176352127279,0.594400662479066,0.4,0.401,0.8
13,3.9040741,3.15,3.42375366568915,-0.273753665689149,-1.42874589413979,-0.0547700521935279,0.638612528070892,0.4,0.401,0.8
14,4.1850201,3.15,3.40127077223851,-0.251270772238514,-1.49933941251711,-0.0640639619887678,0.650492243723752,0.4,0.401,0.8
15,4.4631173,3.15,3.3841642228739,-0.2341642228739,-1.56445982723852,-0.0640787500371808,0.669751079842461,0.4,0.401,0.8
16,4.8801847,3.15,3.38563049853372,-0.235630498533725,-1.66273362662268,-0.0334786215367274,0.734225486459803,0.4,0.401,0.8
17,5.184457,3.15,3.37292277614858,-0.222922776148582,-1.73056285244379,-0.0450642986198683,0.7470733753935,0.4,0.401,0.8
18,5.4432699,3.15,3.341642228739,-0.191642228739004,-1.7801623334262,-0.0665560476818549,0.737257149054024,0.4,0.401,0.8
19,5.7172617,3.15,3.31671554252199,-0.166715542521994,-1.82584102500978,-0.0684903278633354,0.74405620574705,0.4,0.401,0.8
20,6.0019535,3.15,3.33137829912023,-0.181378299120234,-1.87747793946726,-0.0424321292409677,0.791474269981689,0.4,0.401,0.8
21,6.4312559,3.15,3.28103616813294,-0.131036168132943,-1.93373208093353,-0.0459640793962799,0.791069768190499,0.4,0.401,0.8
22,6.7260302,3.15,3.32160312805474,-0.171603128054741,-1.98431627288368,-0.0260287267055874,0.843529095283781,0.4,0.401,0.8
23,6.9971461,3.15,3.3030303030303,-0.153030303030303,-2.02580522121701,-0.0363410805508364,0.844487150479474,0.4,0.401,0.8
24,7.2610509,3.15,3.29081133919844,-0.140811339198435,-2.06296600952591,-0.039127399633441,0.85227198579251,0.4,0.401,0.8
25,7.5698443,3.15,3.29423264907136,-0.144232649071359,-2.10750409962366,-0.024535708616967,0.883173636684057,0.4,0.401,0.8
26,8.0115332,3.15,3.28787878787879,-0.137878787878788,-2.16840362977517,-0.0165997926293997,0.91140153658784,0.4,0.401,0.8
